subdomain,ip
www.geovrid.usach.cl,158.170.64.48
www.gestion2030.usach.cl,gestion2030.usach.cl.
www.gestion2030.usach.cl,158.170.64.65
www.gestion-postgrado.usach.cl,gestion-postgrado.usach.cl.
www.gestion-postgrado.usach.cl,158.170.66.64
www.gestionresiduos.usach.cl,158.170.64.150
www.gloriacardenasjiron.usach.cl,gloriacardenasjiron.usach.cl.
www.gloriacardenasjiron.usach.cl,158.170.64.150
www.guiaweb.usach.cl,guiaweb.usach.cl.
www.guiaweb.usach.cl,158.170.64.150
www.helpdesk.segic.cl,helpdesk.segic.cl.
www.helpdesk.segic.cl,158.170.10.51
www.historia.udesantiago.cl,historia.udesantiago.cl.
www.historia.udesantiago.cl,158.170.64.116
www.historia.usach.cl,historia.usach.cl.
www.historia.usach.cl,158.170.66.237
www.icevirtuallibrary.com.ezproxy.usach.cl,158.170.10.44
www.idea.usach.cl,idea.usach.cl.
www.idea.usach.cl,158.170.66.48
www.idiomas.usach.cl,idiomas.usach.cl.
www.idiomas.usach.cl,158.170.64.116
www.image-register.dti.usach.cl,image-register.dti.usach.cl.
www.image-register.dti.usach.cl,158.170.66.39
www.incuba.arica.usach.cl,incuba.arica.usach.cl.
www.incuba.arica.usach.cl,158.170.66.197
www.incubadoraea.usach.cl,incubadoraea.usach.cl.
www.incubadoraea.usach.cl,158.170.64.150
www.informatica.usach.cl,158.170.35.191
www.informaticos.usach.cl,informaticos.usach.cl.
www.informaticos.usach.cl,158.170.66.14
www.ingemat.usach.cl,ingemat.usach.cl.
www.ingemat.usach.cl,158.170.77.212
www.ingenieriabiomedica.usach.cl,ingenieriabiomedica.usach.cl.
www.ingenieriabiomedica.usach.cl,158.170.64.150
www.ingenieriadeprocesos.usach.cl,ingenieriadeprocesos.usach.cl.
www.ingenieriadeprocesos.usach.cl,158.170.66.237
www.ingenieriaindustrial-usach.cl,ingenieriaindustrial-usach.cl.
www.ingenieriaindustrial-usach.cl,201.148.105.43
www.ingenieriaindustrial.usach.cl,ingenieriaindustrial-usach.cl.
www.ingenieriaindustrial.usach.cl,201.148.105.43
www.inned.usach.cl,inned.usach.cl.
www.inned.usach.cl,158.170.66.237
www.innovo.usach.cl,innovo.usach.cl.
www.innovo.usach.cl,158.170.66.230
www.internacional.usach.cl,internacional.usach.cl.
www.internacional.usach.cl,158.170.66.151
www.isidoraaguirre.usach.cl,isidoraaguirre.usach.cl.
www.isidoraaguirre.usach.cl,158.170.66.24
www.iso.segic.cl,iso.segic.cl.
www.iso.segic.cl,158.170.64.24
www.jint.usach.cl,jint.usach.cl.
www.jint.usach.cl,158.170.64.110
www.jstor.org.ezproxy.usach.cl,158.170.10.44
www.koyaku.usach.cl,koyaku.usach.cl.
www.koyaku.usach.cl,158.170.66.210
www.lab-acustica.usach.cl,lab-acustica.usach.cl.
www.lab-acustica.usach.cl,158.170.64.150
www.labcontrol.usach.cl,labcontrol.usach.cl.
www.labcontrol.usach.cl,158.170.64.150
www.labiotam.usach.cl,labiotam.usach.cl.
www.labiotam.usach.cl,158.170.64.150
www.laboral.usach.cl,usach.reqlut.com.
www.laboral.usach.cl,ns.reqlut.com.
www.laboral.usach.cl,13.216.95.52
www.laboratorios.qyb.usach.cl,laboratorios.qyb.usach.cl.
www.laboratorios.qyb.usach.cl,158.170.64.150
www.labteldie.usach.cl,labteldie.usach.cl.
www.labteldie.usach.cl,158.170.107.39
www.laetitia.usach.cl,ns.reqlut.com.
www.laetitia.usach.cl,13.216.95.52
www.lcc.usach.cl,lcc.usach.cl.
www.lcc.usach.cl,158.170.77.212
www.lemc.usach.cl,lemc.usach.cl.
www.lemc.usach.cl,158.170.77.212
www.leo.usach.cl,leo.usach.cl.
www.leo.usach.cl,158.170.64.113
www.libif.usach.cl,libif.usach.cl.
www.libif.usach.cl,158.170.64.150
www.liceos.usach.cl,liceos.usach.cl.
www.liceos.usach.cl,158.170.64.106
www.lictex.usach.cl,lictex.usach.cl.
www.lictex.usach.cl,158.170.64.150
www.linguisticayliteratura.usach.cl,linguisticayliteratura.usach.cl.
www.linguisticayliteratura.usach.cl,158.170.64.150
www.lista-espera.usach.cl,lista-espera.usach.cl.
www.lista-espera.usach.cl,158.170.64.234
www.listaespera.usach.cl,listaespera.usach.cl.
www.listaespera.usach.cl,158.170.64.237
www.llavecampus.usach.cl,llavecampus.usach.cl.
www.llavecampus.usach.cl,158.170.64.202
www.loa.usach.cl,loa.usach.cl.
www.loa.usach.cl,158.170.10.76
www.loa.usach.cl,158.170.10.70
www.loa.usach.cl,158.170.10.75
www.logt.usach.cl,logt.usach.cl.
www.logt.usach.cl,158.170.64.116
www.magestec.usach.cl,magestec.usach.cl.
www.magestec.usach.cl,158.170.64.116
www.magiet.usach.cl,magiet.usach.cl.
www.magiet.usach.cl,158.170.66.237
www.magingquimica.usach.cl,magingquimica.usach.cl.
www.magingquimica.usach.cl,158.170.64.150
www.magister.dmcc.usach.cl,magister.dmcc.usach.cl.
www.magister.dmcc.usach.cl,158.170.77.212
www.magisterelectrica.usach.cl,magisterelectrica.usach.cl.
www.magisterelectrica.usach.cl,158.170.66.216
www.magisterestructuras.usach.cl,magisterestructuras.usach.cl.
www.magisterestructuras.usach.cl,158.170.66.210
www.mastermida.usach.cl,mastermida.usach.cl.
www.mastermida.usach.cl,158.170.64.150
www.matricula-ibero.usach.cl,matricula-ibero.usach.cl.
www.matricula-ibero.usach.cl,158.170.64.58
www.matricula-online-test.usach.cl,158.170.64.234
www.matricula-online.usach.cl,matricula-online.usach.cl.
www.matricula-online.usach.cl,158.170.64.234
www.mat.usach.cl,mat.usach.cl.
www.mat.usach.cl,158.170.77.212
www.mcii.usach.cl,mcii.usach.cl.
www.mcii.usach.cl,158.170.64.150
www.mef.usach.cl,158.170.66.194
www.mem.dmcc.usach.cl,mem.dmcc.usach.cl.
www.mem.dmcc.usach.cl,158.170.77.212
www.metalurgia.usach.cl,metalurgia.usach.cl.
www.metalurgia.usach.cl,158.170.66.48
www.mhe.usach.cl,mhe.usach.cl.
www.mhe.usach.cl,158.170.66.194
www.mma.ingenieria.usach.cl,mma.ingenieria.usach.cl.
www.mma.ingenieria.usach.cl,158.170.64.150
www.movilidadinterna.usach.cl,movilidadinterna.usach.cl.
www.movilidadinterna.usach.cl,158.170.66.65
www.msp.usach.cl,msp.usach.cl.
www.msp.usach.cl,158.170.64.150
www.nanoseguridad.usach.cl,nanoseguridad.usach.cl.
www.nanoseguridad.usach.cl,158.170.66.200
www-ncbi-nlm-nih-gov.ezproxy.usach.cl,158.170.10.44
www.niif-ifrs.usach.cl,niif-ifrs.usach.cl.
www.niif-ifrs.usach.cl,158.170.66.194
www.nomasviolencia.usach.cl,nomasviolencia.usach.cl.
www.nomasviolencia.usach.cl,158.170.66.26
www.obrasciviles.usach.cl,obrasciviles.usach.cl.
www.obrasciviles.usach.cl,158.170.66.210
www.oecd-ilibrary.org.ezproxy.usach.cl,158.170.10.44
www.oppt.usach.cl,oppt.usach.cl.
www.oppt.usach.cl,158.170.64.150
www.pace.usach.cl,pace.usach.cl.
www.pace.usach.cl,158.170.77.129
www.pagaredearancel.usach.cl,pagaredearancel.usach.cl.
www.pagaredearancel.usach.cl,158.170.64.86
www.pagare.usach.cl,pagare.usach.cl.
www.pagare.usach.cl,158.170.64.58
www.pagoenlinea-test.usach.cl,pagoenlinea-test.usach.cl.
www.pagoenlinea-test.usach.cl,158.170.68.60
www.pagoenlinea.usach.cl,pagoenlinea.usach.cl.
www.pagoenlinea.usach.cl,158.170.64.58
www.pagos.usach.cl,pagos.usach.cl.
www.pagos.usach.cl,158.170.64.64
www.pagosyserviciosenlinea.usach.cl,pagosyserviciosenlinea.usach.cl.
www.pagosyserviciosenlinea.usach.cl,158.170.64.26
www.paiep.usach.cl,paiep.usach.cl.
www.paiep.usach.cl,158.170.64.150
www.panelqyb.usach.cl,panelqyb.usach.cl.
www.panelqyb.usach.cl,158.170.66.71
www.pares.usach.cl,pares.usach.cl.
www.pares.usach.cl,158.170.77.129
www.patrimonio.usach.cl,patrimonio.usach.cl.
www.patrimonio.usach.cl,158.170.66.212
www.pefft.usach.cl,pefft.usach.cl.
www.pefft.usach.cl,158.170.64.150
www.pei2030.usach.cl,pei2030.usach.cl.
www.pei2030.usach.cl,158.170.64.67
www.pei.usach.cl,pei.usach.cl.
www.pei.usach.cl,158.170.66.62
www.periodismo.udesantiago.cl,periodismo.udesantiago.cl.
www.periodismo.udesantiago.cl,158.170.64.116
www.periodismo.usach.cl,periodismo.usach.cl.
www.periodismo.usach.cl,158.170.64.150
www.periododetransicion.usach.cl,periododetransicion.usach.cl.
www.periododetransicion.usach.cl,158.170.64.106
www.periodointensivo.usach.cl,periodointensivo.usach.cl.
www.periodointensivo.usach.cl,158.170.64.86
www.plemc.usach.cl,plemc.usach.cl.
www.plemc.usach.cl,158.170.77.212
www.pma.cl.ezproxy.usach.cl,158.170.10.44
www.portalfisicaeducativa.usach.cl,portalfisicaeducativa.usach.cl.
www.portalfisicaeducativa.usach.cl,158.170.66.101
www.portal.usach.cl,portal.usach.cl.
www.portal.usach.cl,158.170.64.154
www.possibilism.usach.cl,possibilism.usach.cl.
www.possibilism.usach.cl,158.170.64.116
www.postgrados.usach.cl,postgrados.usach.cl.
www.postgrados.usach.cl,158.170.64.110
www.postgrado.usach.cl,postgrados.usach.cl.
www.postgrado.usach.cl,158.170.64.110
www.postitulobasica-matriculas.usach.cl,postitulobasica-matriculas.usach.cl.
www.postitulobasica-matriculas.usach.cl,158.170.77.227
www.postulaciones.usach.cl,postulaciones.usach.cl.
www.postulaciones.usach.cl,158.170.64.234
www.postulacion-postgrado.usach.cl,postulacion-postgrado.usach.cl.
www.postulacion-postgrado.usach.cl,158.170.66.64
www.progoa.usach.cl,progoa.usach.cl.
www.progoa.usach.cl,158.170.64.116
www.propuesta-cteo-tst.usach.cl,propuesta-cteo-tst.usach.cl.
www.propuesta-cteo-tst.usach.cl,158.170.64.59
www.propuesta-cteo.usach.cl,propuesta-cteo.usach.cl.
www.propuesta-cteo.usach.cl,158.170.64.58
www.proyectatufuturo.usach.cl,proyectatufuturo.usach.cl.
www.proyectatufuturo.usach.cl,158.170.64.150
www.proyectoaguasgrises.usach.cl,proyectoaguasgrises.usach.cl.
www.proyectoaguasgrises.usach.cl,158.170.64.150
www.psicologia.usach.cl,psicologia.usach.cl.
www.psicologia.usach.cl,158.170.66.48
www.publicidad.usach.cl,publicidad.usach.cl.
www.publicidad.usach.cl,190.107.177.242
www.puntajes.usach.cl,158.170.64.234
www.quimicaybiologia.usach.cl,quimicaybiologia.usach.cl.
www.quimicaybiologia.usach.cl,158.170.64.150
www.qybdigital.usach.cl,qybdigital.usach.cl.
www.qybdigital.usach.cl,158.170.66.71
www.radio.usach.cl,radiousach.cl.
www.radio.usach.cl,200.91.46.252
www.rectoria.usach.cl,rectoria.usach.cl.
www.rectoria.usach.cl,158.170.64.150
www.recursosaprendizajecastellano.usach.cl,recursosaprendizajecastellano.usach.cl.
www.recursosaprendizajecastellano.usach.cl,76.76.21.9
www.redaprendizajeactivo.usach.cl,redaprendizajeactivo.usach.cl.
www.redaprendizajeactivo.usach.cl,158.170.64.150
www.reddeaprendizajeactivo.usach.cl,reddeaprendizajeactivo.usach.cl.
www.reddeaprendizajeactivo.usach.cl,158.170.64.150
www.redmujerescyt.usach.cl,redmujerescyt.usach.cl.
www.redmujerescyt.usach.cl,158.170.64.150
www.reformaute.usach.cl,reformaute.usach.cl.
www.reformaute.usach.cl,158.170.66.24
www.registro.usach.cl,158.170.64.236
www.repostulacion.usach.cl,repostulacion.usach.cl.
www.repostulacion.usach.cl,158.170.64.234
www.requerimientos.usach.cl,requerimientos.usach.cl.
www.requerimientos.usach.cl,158.170.10.51
www.reuna.usach.cl,reuna.usach.cl.
www.reuna.usach.cl,158.170.64.121
www.revistagpt.usach.cl,revistagpt.usach.cl.
www.revistagpt.usach.cl,158.170.64.150
www.revistapalavra.usach.cl,revistapalavra.usach.cl.
www.revistapalavra.usach.cl,158.170.64.150
www.revistas.usach.cl,revistas.usach.cl.
www.revistas.usach.cl,158.170.66.96
www.rhistoria.usach.cl,rhistoria.usach.cl.
www.rhistoria.usach.cl,158.170.64.150
www.rrhh.usach.cl,rrhh.usach.cl.
www.rrhh.usach.cl,158.170.64.116
www.rucahueche.usach.cl,rucahueche.usach.cl.
www.rucahueche.usach.cl,158.170.64.116
www.salas.usach.cl,salas.usach.cl.
www.salas.usach.cl,158.170.64.106
www.salvoconducto.usach.cl,salvoconducto.usach.cl.
www.salvoconducto.usach.cl,158.170.66.67
www.sciencedirect.com.ezproxy.udesantiago.cl,158.170.10.44
www-scopus-com.ezproxy.usach.cl,158.170.10.44
www.secretaria.usach.cl,secretaria.usach.cl.
www.secretaria.usach.cl,158.170.64.150
www.segic.cl,segic.cl.
www.segic.cl,158.170.64.110
www.servicios-ibero-test.usach.cl,servicios-ibero-test.usach.cl.
www.servicios-ibero-test.usach.cl,158.170.64.59
www.servicios-ibero.usach.cl,servicios-ibero.usach.cl.
www.servicios-ibero.usach.cl,158.170.64.58
www.sfp.usach.cl,sfp.usach.cl.
www.sfp.usach.cl,158.170.66.46
www.sgp.uci.usach.cl,sgp.uci.usach.cl.
www.sgp.uci.usach.cl,158.170.66.74
www.sis-bienestar.usach.cl,sis-bienestar.usach.cl.
www.sis-bienestar.usach.cl,158.170.64.58
www.sismatalunuevo.usach.cl,sismatalunuevo.usach.cl.
www.sismatalunuevo.usach.cl,158.170.64.24
www.sistema.campus.usach.cl,sistema.campus.usach.cl.
www.sistema.campus.usach.cl,158.170.64.202
www.sistema-facimed.usach.cl,sistema-facimed.usach.cl.
www.sistema-facimed.usach.cl,158.170.64.202
www.sistema.oirs.usach.cl,sistema.oirs.usach.cl.
www.sistema.oirs.usach.cl,158.170.64.202
www.sistemaoirs.usach.cl,sistemaoirs.usach.cl.
www.sistemaoirs.usach.cl,158.170.64.202
www.sistemareservassalones.vime.usach.cl,sistemareservassalones.vime.usach.cl.
www.sistemareservassalones.vime.usach.cl,158.170.10.73
www.smartcitylab-usach.cl,smartcitylab-usach.cl.
www.smartcitylab-usach.cl,192.140.56.40
www.smartcitylab.usach.cl,smartcitylab.usach.cl.
www.smartcitylab.usach.cl,www.smartcitylab-usach.cl.
www.smartcitylab.usach.cl,smartcitylab-usach.cl.
www.smartcitylab.usach.cl,192.140.56.40
www.solicitudes.ciencia.usach.cl,solicitudes.ciencia.usach.cl.
www.solicitudes.ciencia.usach.cl,158.170.66.209
www.solicitudinformacion.usach.cl,solicitudinformacion.usach.cl.
www.solicitudinformacion.usach.cl,158.170.64.59
www.std.usach.cl,std.usach.cl.
www.std.usach.cl,158.170.66.51
www.superclave.usach.cl,superclave.usach.cl.
www.superclave.usach.cl,158.170.64.86
www.sustentabilidades.usach.cl,sustentabilidades.usach.cl.
www.sustentabilidades.usach.cl,158.170.64.116
www.talentosartisticos.usach.cl,talentosartisticos.usach.cl.
www.talentosartisticos.usach.cl,158.170.64.116
www-tandfonline-com.ezproxy.usach.cl,158.170.10.44
www.tap.usach.cl,tap.usach.cl.
www.tap.usach.cl,158.170.66.101
www.tci.usach.cl,tci.usach.cl.
www.tci.usach.cl,158.170.66.101
www.tdi.usach.cl,tdi.usach.cl.
www.tdi.usach.cl,158.170.66.115
www.tecnologias.usach.cl,tecnologias.usach.cl.
www.tecnologias.usach.cl,158.170.66.223
www.teknos.usach.cl,teknos.usach.cl.
www.teknos.usach.cl,158.170.66.24
www.test.helpdesk.usach.cl,test.helpdesk.usach.cl.
www.test.helpdesk.usach.cl,158.170.64.202
www.testsgp.uci.usach.cl,testsgp.uci.usach.cl.
www.testsgp.uci.usach.cl,158.170.66.75
www.ticpaiep.usach.cl,ticpaiep.usach.cl.
www.ticpaiep.usach.cl,158.170.77.129
www.tips2021.usach.cl,tips2021.usach.cl.
www.tips2021.usach.cl,158.170.66.153
www.transparenciaactiva.usach.cl,transparenciaactiva.usach.cl.
www.transparenciaactiva.usach.cl,transparencia.usach.cl.
www.transparenciaactiva.usach.cl,158.170.64.110
www.transparencia.usach.cl,transparencia.usach.cl.
www.transparencia.usach.cl,158.170.64.110
www.tuaqf.usach.cl,tuaqf.usach.cl.
www.tuaqf.usach.cl,158.170.66.101
www.tuci.usach.cl,tuci.usach.cl.
www.tuci.usach.cl,158.170.66.101
www.udesantiagoaldia.usach.cl,udesantiagoaldia.usach.cl.
www.udesantiagoaldia.usach.cl,158.170.64.116
www.udesantiago.cl,158.170.64.150
www.ugb.usach.cl,ugb.usach.cl.
www.ugb.usach.cl,158.170.64.150
www.uie.usach.cl,uie.usach.cl.
www.uie.usach.cl,158.170.66.230
www.ups.udesantiago.cl,hosting.udesantiago.cl.
www.ups.udesantiago.cl,158.170.66.14
www.usach.cl,104.18.21.49
www.usach.cl,104.18.20.49
www.usachparticipa.usach.cl,usachparticipa.usach.cl.
www.usachparticipa.usach.cl,158.170.64.150
www.usachteapoya.usach.cl,usachteapoya.usach.cl.
www.usachteapoya.usach.cl,158.170.64.66
www.uvirtual.usach.cl,uvirtual.usach.cl.
www.uvirtual.usach.cl,158.170.64.102
www.ux1d.usach.cl,ux1d.usach.cl.
www.ux1d.usach.cl,158.170.64.58
www.vicaviged.usach.cl,vicaviged.usach.cl.
www.vicaviged.usach.cl,158.170.64.154
www.vime.arquitectura.usach.cl,vime.arquitectura.usach.cl.
www.vime.arquitectura.usach.cl,158.170.66.101
www.vimefing.usach.cl,vimefing.usach.cl.
www.vimefing.usach.cl,158.170.66.168
www.vime.usach.cl,vime.usach.cl.
www.vime.usach.cl,158.170.64.150
www.virtualizacionqyb.usach.cl,virtualizacionqyb.usach.cl.
www.virtualizacionqyb.usach.cl,158.170.64.150
www.visitas.usach.cl,visitas.usach.cl.
www.visitas.usach.cl,158.170.64.234
www.vpn.usach.cl,vpn.usach.cl.
www.vpn.usach.cl,158.170.15.2
www.vrae.usach.cl,vrae.usach.cl.
www.vrae.usach.cl,158.170.66.30
www.vra.usach.cl,vra.usach.cl.
www.vra.usach.cl,158.170.64.150
www.vridei.usach.cl,vridei.usach.cl.
www.vridei.usach.cl,158.170.66.230
www.vrid.usach.cl,vrid.usach.cl.
www.vrid.usach.cl,vridei.usach.cl.
www.vrid.usach.cl,158.170.66.230
www.vriic.usach.cl,vriic.usach.cl.
www.vriic.usach.cl,158.170.66.230
www-webofscience-com.ezproxy.usach.cl,158.170.10.44
www.webpay-server.usach.cl,webpay-server.usach.cl.
www.webpay-server.usach.cl,158.170.64.26
