158.170.66.110	80	
158.170.11.24	443	
158.170.66.162	5432	
158.170.68.87	80	
158.170.10.117	443	
158.170.66.223	443	
158.170.35.166	443	
158.170.66.224	80	
158.170.66.151	443	
158.170.66.168	443	
158.170.35.66	80	
158.170.66.98	80	
158.170.66.39	443	
158.170.66.65	80	
158.170.66.210	80	
158.170.66.96	443	
158.170.66.51	80	
158.170.66.24	80	
158.170.68.26	443	
158.170.11.13	80	
158.170.68.51	80	
158.170.66.32	443	
158.170.10.74	80	
158.170.10.241	80	
158.170.77.129	443	
158.170.66.64	80	
158.170.35.191	443	
158.170.68.112	80	
158.170.64.195	80	
158.170.10.63	80	
158.170.66.99	80	
158.170.66.251	80	
158.170.35.27	80	
158.170.64.201	80	
158.170.66.229	80	
158.170.68.111	80	
158.170.68.60	80	
158.170.66.44	80	
158.170.68.97	80	
158.170.77.212	80	
158.170.66.233	80	
158.170.64.78	80	
158.170.66.231	80	
158.170.66.111	80	
158.170.64.101	80	
158.170.68.81	80	
158.170.64.110	80	
158.170.68.103	80	
158.170.77.121	80	
158.170.66.60	80	
158.170.68.117	80	
158.170.66.39	80	
158.170.66.151	80	
158.170.66.38	80	
158.170.66.238	80	
158.170.68.59	80	
158.170.10.44	80	
158.170.66.75	80	
158.170.66.118	80	
158.170.66.130	80	
158.170.10.67	80	
158.170.66.209	80	
158.170.68.70	80	
158.170.35.151	80	
158.170.10.74	443	
158.170.66.158	80	
158.170.68.30	80	
158.170.66.144	80	
158.170.66.194	80	
158.170.66.73	80	
158.170.64.121	80	
158.170.77.227	80	
158.170.66.107	80	
158.170.35.167	80	
158.170.66.223	80	
158.170.14.22	80	
158.170.66.153	443	
158.170.66.238	443	
158.170.66.234	80	
158.170.66.162	80	
158.170.66.79	80	
158.170.64.27	80	
158.170.64.154	80	
158.170.64.46	80	
158.170.10.58	80	
158.170.35.192	80	
158.170.14.11	80	
158.170.66.97	80	
158.170.66.40	80	
158.170.64.203	80	
158.170.10.75	80	
158.170.11.66	80	
158.170.68.57	80	
158.170.66.68	80	
158.170.66.196	80	
158.170.66.142	80	
158.170.66.170	80	
158.170.64.22	53	
158.170.69.11	80	
158.170.80.115	80	
158.170.64.242	80	
158.170.20.191	80	
158.170.64.221	80	
158.170.68.80	80	
158.170.77.225	80	
158.170.66.48	80	
158.170.66.213	80	
158.170.68.148	80	
158.170.66.232	80	
158.170.66.188	80	
158.170.14.20	80	
